"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/WZHYL1iBda","https://twngo.cf/2N5MiJN","twngo.cf/2N5MiJN","17.0","40.0","","","","","","","","","","","","","","","0.0","40.0","0.0","null","null","1012313214250635264","null","False","0.0","1.01231321425063526E18","null","False","Thu Jun 28 12:34:12 +0000 2018","null","False","[親子共學訊息]泰平共學村的價值 https://t.co/WZHYL1iBda","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/cN7XIpB6s6","https://twngo.cf/2N6W7Y3","twngo.cf/2N6W7Y3","15.0","38.0","","","","","","","","","","","","","","","0.0","38.0","0.0","null","null","1012261929371553793","null","False","0.0","1.01226192937155379E18","null","False","Thu Jun 28 09:10:25 +0000 2018","null","False","[永社]比特幣吸金 有犯罪嗎 https://t.co/cN7XIpB6s6","ja","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/heUTFEhDIB","https://twngo.cf/2tRo25t","twngo.cf/2tRo25t","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","1012235025948045312","null","False","0.0","1.01223502594804531E18","null","False","Thu Jun 28 07:23:31 +0000 2018","null","False","[白絲帶協會]【手機約炮好easy？ 台灣年輕人逾4成曾與陌生人性行為】 https://t.co/heUTFEhDIB","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/P7QxDd45Dt","https://twngo.cf/2lH2zZg","twngo.cf/2lH2zZg","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","1012235022751936513","null","False","0.0","1.01223502275193651E18","null","False","Thu Jun 28 07:23:30 +0000 2018","null","False","[白絲帶協會]【嚇到吃手手！ 消保處抽測15款手機APP 初檢0合格】 https://t.co/P7QxDd45Dt","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/LMIU2NvXsF","https://twngo.cf/2tLkscK","twngo.cf/2tLkscK","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","1012194267501088768","null","False","0.0","1.01219426750108877E18","null","False","Thu Jun 28 04:41:33 +0000 2018","null","False","[環資訊息]好賣相小心反有毒 補食安漏洞 跨部會7月1日稽查化工原料行 https://t.co/LMIU2NvXsF","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/j1zD1fIJoi","https://twngo.cf/2yO0Ni3","twngo.cf/2yO0Ni3","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","1012191719977254912","null","False","0.0","1.01219171997725491E18","null","False","Thu Jun 28 04:31:26 +0000 2018","null","False","[台權會 on Medium]台權會2018.06電子報： https://t.co/j1zD1fIJoi","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/sSzKFevnvw","https://twngo.cf/2Iz2NKH","twngo.cf/2Iz2NKH","110.0","133.0","","","","","","","","","","","","","","","0.0","133.0","0.0","null","null","1012186610090246144","null","False","0.0","1.01218661009024614E18","null","False","Thu Jun 28 04:11:08 +0000 2018","null","False","[環資訊息]Landmark Triple Win Development Project: Land Crabs’ Habitat Saved by Land Swap in Houwan Bay, Pingtung https://t.co/sSzKFevnvw","en","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/RHx9bd4Z2V","https://twngo.cf/2tAT0iQ","twngo.cf/2tAT0iQ","17.0","40.0","","","","","","","","","","","","","","","0.0","40.0","0.0","null","null","1012184112420085760","null","False","0.0","1.01218411242008576E18","null","False","Thu Jun 28 04:01:12 +0000 2018","null","False","[永社]沒做功課就聲請釋憲的法官 https://t.co/RHx9bd4Z2V","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/sDXIWpltfK","https://twngo.cf/2IC8fNe","twngo.cf/2IC8fNe","26.0","49.0","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","1012175810999017472","null","False","0.0","1.01217581099901747E18","null","False","Thu Jun 28 03:28:13 +0000 2018","null","False","[深耕德瑪汶]參與&分享。德瑪汶的學童陪讀 https://t.co/sDXIWpltfK","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/p3dOec63Fu","https://twngo.cf/2yPw8RI","twngo.cf/2yPw8RI","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","1012175286794903553","null","False","0.0","1.01217528679490355E18","null","False","Thu Jun 28 03:26:08 +0000 2018","null","False","[環資訊息]生煤許可證審核原則由中央制定  挨批剝奪地方減煤權 https://t.co/p3dOec63Fu","zh","","null","null","null","","","","","","","","","","","","","",""
