"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qtYzShhszL","https://twngo.cf/2Jkm1rV","twngo.cf/2Jkm1rV","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","1002383048598532101","null","False","0.0","1.0023830485985321E18","null","False","Fri Jun 01 02:55:16 +0000 2018","null","False","[環資訊息]梅雨不來卻「放水流」 建案、河川工程虛耗水資源 https://t.co/qtYzShhszL","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xDiLzRiDes","https://twngo.cf/2LcvJdc","twngo.cf/2LcvJdc","24.0","47.0","","","","","","","","","","","","","","","","","","","0.0","47.0","0.0","null","null","1002372504378335232","null","False","0.0","1.00237250437833523E18","null","False","Fri Jun 01 02:13:22 +0000 2018","null","False","[華人民主書院]中國公司亂砍濫伐俄森林引發抗議 https://t.co/xDiLzRiDes","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/RKaCLOWQNm","https://twngo.cf/2nYd5PC","twngo.cf/2nYd5PC","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","940883827811078144","null","False","0.0","9.4088382781107814E17","null","False","Wed Dec 13 09:59:19 +0000 2017","null","False","[永社]定罪與量刑程序應兩分　讓國民法官推動司法前進 https://t.co/RKaCLOWQNm","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/R3HirhoAGu","https://twngo.cf/2AQQk2Q","twngo.cf/2AQQk2Q","16.0","39.0","","","","","","","","","","","","","","","","","","","0.0","39.0","0.0","null","null","940880148370526208","null","False","0.0","9.4088014837052621E17","null","False","Wed Dec 13 09:44:42 +0000 2017","null","False","[永社]虛無飄渺的《促轉條例》 https://t.co/R3HirhoAGu","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/SHC6KYHLFo","https://twngo.cf/2APwYv9","twngo.cf/2APwYv9","44.0","67.0","","","","","","","","","","","","","","","","","","","0.0","67.0","0.0","null","null","940872876172955648","null","False","0.0","9.4087287617295565E17","null","False","Wed Dec 13 09:15:48 +0000 2017","null","False","[公民行動資料庫]勞工衛生換老闆彈性 賴內閣勞基修法為哪樁？│ 公庫電子週報第一零七期 https://t.co/SHC6KYHLFo","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VQueu5uXFv","https://twngo.cf/2z6yiKA","twngo.cf/2z6yiKA","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","940866460959825921","null","False","0.0","9.4086646095982592E17","null","False","Wed Dec 13 08:50:19 +0000 2017","null","False","[公民行動資料庫]修改勞動基準法，是不是一場功德？！ https://t.co/VQueu5uXFv","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/NSxrMoIeeX","https://twngo.cf/2iXF0dd","twngo.cf/2iXF0dd","55.0","78.0","","","","","","","","","","","","","","","","","","","0.0","78.0","0.0","null","null","940866175139045379","null","False","0.0","9.4086617513904538E17","null","False","Wed Dec 13 08:49:11 +0000 2017","null","False","[蠻野心足訊息][聯合新聞稿]「台灣白海豚」滅。絕。倒。數？！ － 風場開發即使違反「政策環評」還是得過嗎? https://t.co/NSxrMoIeeX","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/v6lau7QwRU","https://twngo.cf/2Af9NsT","twngo.cf/2Af9NsT","26.0","49.0","","","","","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","940855940127051776","null","False","0.0","9.4085594012705178E17","null","False","Wed Dec 13 08:08:31 +0000 2017","null","False","[司改會訊息]大法官的違憲宣告 法院都在保護壞人？ https://t.co/v6lau7QwRU","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/YjzyspowvG","https://twngo.cf/2AyHUAq","twngo.cf/2AyHUAq","40.0","63.0","","","","","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","940852619429449728","null","False","1.0","9.4085261942944973E17","null","False","Wed Dec 13 07:55:19 +0000 2017","null","False","[公民行動資料庫]黃育德：不是南部人愛加班，但低薪卻讓加班成了最基本的生存條件 https://t.co/YjzyspowvG","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/0qBq9waZAy","https://twngo.cf/2BYWddB","twngo.cf/2BYWddB","20.0","43.0","","","","","","","","","","","","","","","","","","","0.0","43.0","0.0","null","null","940842620670087170","null","False","0.0","9.4084262067008717E17","null","False","Wed Dec 13 07:15:35 +0000 2017","null","False","[荒野基金會]中國廣州海珠溼地自然學校 https://t.co/0qBq9waZAy","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/fKZRd5m2oV","https://twngo.cf/2ykMaxc","twngo.cf/2ykMaxc","31.0","54.0","","","","","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","940835996693917697","null","False","0.0","9.408359966939177E17","null","False","Wed Dec 13 06:49:16 +0000 2017","null","False","公民監督國會聯盟 just uploaded a video https://t.co/fKZRd5m2oV","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KTAcznzr96","https://twngo.cf/2z654LS","twngo.cf/2z654LS","25.0","48.0","","","","","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","940835060462292992","null","False","0.0","9.4083506046229299E17","null","False","Wed Dec 13 06:45:32 +0000 2017","null","False","[公民行動資料庫]以現代之名：精神病患人權的難題 https://t.co/KTAcznzr96","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/J5xsEUEBI1","https://twngo.cf/2AgMxuN","twngo.cf/2AgMxuN","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","940835058029645825","null","False","0.0","9.4083505802964582E17","null","False","Wed Dec 13 06:45:32 +0000 2017","null","False","[公民行動資料庫]【連署】 「維護龍發堂堂眾健康權倡議」連署書 https://t.co/J5xsEUEBI1","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
