"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","52.0","58.0","https://t.co/c6WIpPtloL","https://twngo.cf/2gg4ZvD","twngo.cf/2gg4ZvD","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","64.0","0.0","null","null","916123962429640705","null","False","0.0","9.161239624296407E17","null","False","Fri Oct 06 02:12:28 +0000 2017","null","False","[民主書院訊息]官媒大幅報道 中國民間熱議美國槍擊事件 https://t.co/c6WIpPtloL #China #中國人權","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","59.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/b9jHigtiYL","https://twngo.cf/2fTDivB","twngo.cf/2fTDivB","49.0","72.0","","","","","","","","","","","","","","","","","","","0.0","72.0","0.0","null","null","915921745344950272","null","False","0.0","9.1592174534495027E17","null","False","Thu Oct 05 12:48:55 +0000 2017","null","False","[伴侶盟訊息]婚姻平權面對面──如何修法才符合釋字748？ Part4 跨國同性伴侶的結婚與居留 https://t.co/b9jHigtiYL","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Iok8pxorkW","https://twngo.cf/2xTFNFb","twngo.cf/2xTFNFb","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","915884912615534592","null","False","0.0","9.1588491261553459E17","null","False","Thu Oct 05 10:22:34 +0000 2017","null","False","[環資訊息]「能源轉型白皮書」第二階段啟動 60位產官學民共同協作 https://t.co/Iok8pxorkW","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","LGBITaiwan","43.0","54.0","https://t.co/gDdffbut6R","https://twngo.cf/2fO7sfW","twngo.cf/2fO7sfW","19.0","42.0","","","","","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","915884174938165248","null","False","0.0","9.1588417493816525E17","null","False","Thu Oct 05 10:19:38 +0000 2017","null","False","[台灣基地]【公告】10月好窩活動包 https://t.co/gDdffbut6R #LGBITaiwan","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","LGBITaiwan","43.0","54.0","https://t.co/pEv5XFXBLJ","https://twngo.cf/2y1uhqD","twngo.cf/2y1uhqD","19.0","42.0","","","","","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","915884170022400000","null","False","0.0","9.158841700224E17","null","False","Thu Oct 05 10:19:37 +0000 2017","null","False","[台灣基地]【公告】10月基地活動包 https://t.co/pEv5XFXBLJ #LGBITaiwan","ja","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/5dP4S895Sc","https://twngo.cf/2xjb3J6","twngo.cf/2xjb3J6","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","915869893119086592","null","False","0.0","9.1586989311908659E17","null","False","Thu Oct 05 09:22:53 +0000 2017","null","False","[環資訊息]國家公園、林務局是否入環資部 今晚或見分曉 https://t.co/5dP4S895Sc","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/3dJV5oN17x","https://twngo.cf/2xUL4MQ","twngo.cf/2xUL4MQ","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","915858054851198976","null","False","0.0","9.1585805485119898E17","null","False","Thu Oct 05 08:35:50 +0000 2017","null","False","董氏基金會菸害防制中心 just uploaded a video https://t.co/3dJV5oN17x","ja","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/rk2yenTIxN","https://twngo.cf/2fN5tso","twngo.cf/2fN5tso","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","915856776532316160","null","False","0.0","9.1585677653231616E17","null","False","Thu Oct 05 08:30:45 +0000 2017","null","False","董氏基金會菸害防制中心 just uploaded a video https://t.co/rk2yenTIxN","ja","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/upFGiyKT9T","https://twngo.cf/2wysUwp","twngo.cf/2wysUwp","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","915856770614153216","null","False","0.0","9.1585677061415322E17","null","False","Thu Oct 05 08:30:44 +0000 2017","null","False","董氏基金會菸害防制中心 just uploaded a video https://t.co/upFGiyKT9T","ja","","null","null","null","","","","","","","","","","","","","","","","","",""
