"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/LMf66Hhz3N","http://ift.tt/2wLlarE","ift.tt/2wLlarE","29.0","52.0","","","","","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","905725919414947840","null","False","0.0","9.0572591941494784E17","null","False","Thu Sep 07 09:34:21 +0000 2017","null","False","[環資訊息]大林蒲遷村尚無進度 南星自貿港又重啟環評程序 https://t.co/LMf66Hhz3N","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/GX5YrOMgVR","http://ift.tt/2xRmRnN","ift.tt/2xRmRnN","25.0","48.0","","","","","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","905700797878554628","null","False","0.0","9.0570079787855462E17","null","False","Thu Sep 07 07:54:31 +0000 2017","null","False","[親子共學訊息]【北車女童裸身】危險的是...？ https://t.co/GX5YrOMgVR","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xNqhv5TqOr","http://ift.tt/2wa8xV2","ift.tt/2wa8xV2","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","905699522923425792","null","False","0.0","9.0569952292342579E17","null","False","Thu Sep 07 07:49:28 +0000 2017","null","False","[婦女新知訊息]2017年第17期志工培訓- 聲入人心 淵暖長流 https://t.co/xNqhv5TqOr","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","TechSoup","70.0","79.0","https://t.co/EefpLZRTxH","http://ift.tt/2wJ0eTS","ift.tt/2wJ0eTS","46.0","69.0","","","","","","","","","","","","","","","","","","","0.0","79.0","0.0","null","null","905699451536363520","null","False","0.0","9.0569945153636352E17","null","False","Thu Sep 07 07:49:10 +0000 2017","null","False","[科技濃湯]2017 數位故事創作挑戰賽：9/6-10/31，歡迎線上送出你的影片和照片！ https://t.co/EefpLZRTxH #TechSoup","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KntmSrFiTk","http://ift.tt/2vNIuaZ","ift.tt/2vNIuaZ","48.0","71.0","","","","","","","","","","","","","","","","","","","0.0","71.0","0.0","null","null","905663700022976512","null","False","0.0","9.0566370002297651E17","null","False","Thu Sep 07 05:27:07 +0000 2017","null","False","[公民參與媒改]促進多元為先，管理壟斷為輔 我們對NCC「媒體壟斷防制與多元維護法」的共同聲明 https://t.co/KntmSrFiTk","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/13aC8IfD5W","http://ift.tt/2j5mRwU","ift.tt/2j5mRwU","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","905638550221332485","null","False","0.0","9.0563855022133248E17","null","False","Thu Sep 07 03:47:10 +0000 2017","null","False","[環資訊息]有衛星照片為證  青藏高原冰河加速融化中 https://t.co/13aC8IfD5W","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/jMyFV4LSxt","http://ift.tt/2j6gDN9","ift.tt/2j6gDN9","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","905634824714670081","null","False","0.0","9.0563482471467008E17","null","False","Thu Sep 07 03:32:22 +0000 2017","null","False","[環資訊息] 彰化離岸風場多 海纜上岸將走「共同廊道」 https://t.co/jMyFV4LSxt","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/gnhhZZUggB","http://ift.tt/2f64ZgU","ift.tt/2f64ZgU","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","905631144724627456","null","False","0.0","9.0563114472462746E17","null","False","Thu Sep 07 03:17:45 +0000 2017","null","False","[環資訊息]為甜柿園圍上電網  獼猴不再來「搶收」 產量多七成 https://t.co/gnhhZZUggB","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/IdIxYO6HHh","http://ift.tt/2vNss0M","ift.tt/2vNss0M","35.0","58.0","","","","","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","905623539050532864","null","False","0.0","9.0562353905053286E17","null","False","Thu Sep 07 02:47:32 +0000 2017","null","False","[環資訊息]「底渣去化」跨部門面對  地方擬自建處理廠 南市已試營運 https://t.co/IdIxYO6HHh","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","50.0","56.0","https://t.co/lkjpx8RFLB","http://ift.tt/2eMKvga","ift.tt/2eMKvga","26.0","49.0","","","","","","","","","","","","","","","","","","","0.0","62.0","0.0","null","null","905617066924920832","null","False","0.0","9.0561706692492083E17","null","False","Thu Sep 07 02:21:48 +0000 2017","null","False","[民主書院訊息]上班族少繳稅！林全卸任前留下大禮物 https://t.co/lkjpx8RFLB #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
