"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wQ7WTvxwiW","http://to.twngo.xyz/2sGDOht","to.twngo.xyz/2sGDOht","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","884367253847904257","null","False","0.0","8.8436725384790426E17","null","False","Mon Jul 10 11:02:38 +0000 2017","null","False","[環資訊息]前瞻綠能第一期預算 81.24億 四成為沙崙綠能城 https://t.co/wQ7WTvxwiW","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/u72YZjiq8x","http://to.twngo.xyz/2uHExjV","to.twngo.xyz/2uHExjV","20.0","43.0","","","","","","","","","","","","","","","0.0","43.0","0.0","null","null","884353176891252737","null","False","0.0","8.8435317689125274E17","null","False","Mon Jul 10 10:06:42 +0000 2017","null","False","[台南新芽]能源媽媽志工培訓 活動紀錄 https://t.co/u72YZjiq8x","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/62BMvAWcKf","http://to.twngo.xyz/2tZi5W1","to.twngo.xyz/2tZi5W1","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","884351690346045445","null","False","0.0","8.8435169034604544E17","null","False","Mon Jul 10 10:00:48 +0000 2017","null","False","[醫勞盟]淺談台灣DRG與日本DPC差異(下)：政策建議暨結論 https://t.co/62BMvAWcKf","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Sx0Wp30Wzm","http://to.twngo.xyz/2tyPRk5","to.twngo.xyz/2tyPRk5","43.0","66.0","","","","","","","","","","","","","","","0.0","66.0","0.0","null","null","884347880517107713","null","False","0.0","8.8434788051710771E17","null","False","Mon Jul 10 09:45:39 +0000 2017","null","False","[蠻野心足訊息]【聯合新聞稿】台建涉弊，立即撤銷或廢止大巨蛋防災認可、清查大巨蛋內鬼 https://t.co/Sx0Wp30Wzm","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/AM4y9vImjL","http://to.twngo.xyz/2tEXN1w","to.twngo.xyz/2tEXN1w","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","884335789009776640","null","False","0.0","8.8433578900977664E17","null","False","Mon Jul 10 08:57:36 +0000 2017","null","False","[環資訊息]透明足跡促環署補洞 六輕燃燒塔自動監測 最快9月全公開 https://t.co/AM4y9vImjL","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/S29IakaNb0","http://to.twngo.xyz/2v1S7hF","to.twngo.xyz/2v1S7hF","19.0","42.0","","","","","","","","","","","","","","","0.0","42.0","0.0","null","null","884321453331632128","null","False","0.0","8.8432145333163213E17","null","False","Mon Jul 10 08:00:39 +0000 2017","null","False","[永社]司改的前瞻性　建立自動車法制 https://t.co/S29IakaNb0","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/azzbrvNyKA","http://to.twngo.xyz/2u8jRoq","to.twngo.xyz/2u8jRoq","24.0","47.0","","","","","","","","","","","","","","","0.0","47.0","0.0","null","null","884290674450993152","null","False","0.0","8.8429067445099315E17","null","False","Mon Jul 10 05:58:20 +0000 2017","null","False","[慈林基金會]2017年慈河獎學金贈送名單公告 https://t.co/azzbrvNyKA","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6EaVAOapcD","http://to.twngo.xyz/2v1AL4a","to.twngo.xyz/2v1AL4a","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","884279059831828480","null","False","0.0","8.8427905983182848E17","null","False","Mon Jul 10 05:12:11 +0000 2017","null","False","[環資訊息]前瞻軌道預算公布 第一期37項計畫 170億元  https://t.co/6EaVAOapcD","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Mgo9X5uU6A","http://to.twngo.xyz/2u2sHmy","to.twngo.xyz/2u2sHmy","17.0","40.0","","","","","","","","","","","","","","","0.0","40.0","0.0","null","null","884263684654190592","null","False","0.0","8.8426368465419059E17","null","False","Mon Jul 10 04:11:05 +0000 2017","null","False","[綠色和平台灣]守護環境不分彼此 https://t.co/Mgo9X5uU6A","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/y1P2W7inCW","http://to.twngo.xyz/2txGwce","to.twngo.xyz/2txGwce","16.0","39.0","","","","","","","","","","","","","","","0.0","39.0","0.0","null","null","884262179423354880","null","False","0.0","8.8426217942335488E17","null","False","Mon Jul 10 04:05:07 +0000 2017","null","False","[澄社訊息]氣候變遷與都市防洪 https://t.co/y1P2W7inCW","zh","null","null","null","","","","","","","","","","","","","",""
