"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/d3P6RpWBZL","http://to.twngo.xyz/2rtK0wU","to.twngo.xyz/2rtK0wU","23.0","46.0","0.0","46.0","0.0","null","null","875270009542647808","null","False","0.0","8.7527000954264781E17","null","False","Thu Jun 15 08:33:26 +0000 2017","null","False","[彰化環盟]農地蓋非法工廠 政府擬輔導合法化 https://t.co/d3P6RpWBZL","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/hIn13YyxKS","http://to.twngo.xyz/2sdjEw5","to.twngo.xyz/2sdjEw5","25.0","48.0","0.0","48.0","0.0","null","null","875270007411933185","null","False","0.0","8.7527000741193318E17","null","False","Thu Jun 15 08:33:26 +0000 2017","null","False","[彰化環盟]漁獲枯竭 台環團籲成立海委會或海洋部 https://t.co/hIn13YyxKS","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/a6C3A5xlQW","http://to.twngo.xyz/2rtKIds","to.twngo.xyz/2rtKIds","26.0","49.0","0.0","49.0","0.0","null","null","875270005658701824","null","False","0.0","8.7527000565870182E17","null","False","Thu Jun 15 08:33:25 +0000 2017","null","False","[彰化環盟]世界海洋日 環團籲成立海洋部保護白海豚 https://t.co/a6C3A5xlQW","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iq1lpqGdA9","http://to.twngo.xyz/2sdfdkT","to.twngo.xyz/2sdfdkT","28.0","51.0","0.0","51.0","0.0","null","null","875270003796344832","null","False","0.0","8.7527000379634483E17","null","False","Thu Jun 15 08:33:25 +0000 2017","null","False","[彰化環盟]世界海洋日 環團籲政府盡速籌組海洋專責機構 https://t.co/iq1lpqGdA9","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/UcX71eV29o","http://to.twngo.xyz/2rtYc96","to.twngo.xyz/2rtYc96","12.0","35.0","0.0","35.0","0.0","null","null","875262901610795008","null","False","0.0","8.7526290161079501E17","null","False","Thu Jun 15 08:05:11 +0000 2017","null","False","[荒野訊息]中橫健走記 https://t.co/UcX71eV29o","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9wKxw5i7TA","http://to.twngo.xyz/2sdbuUL","to.twngo.xyz/2sdbuUL","20.0","43.0","0.0","43.0","0.0","null","null","875262900000239617","null","False","0.0","8.7526290000023962E17","null","False","Thu Jun 15 08:05:11 +0000 2017","null","False","[荒野訊息]那瑪夏國中山林之美 螢火記 https://t.co/9wKxw5i7TA","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/j1Thh6T0l4","http://to.twngo.xyz/2rua2jz","to.twngo.xyz/2rua2jz","30.0","53.0","0.0","53.0","0.0","null","null","875262897693306880","null","False","0.0","8.7526289769330688E17","null","False","Thu Jun 15 08:05:11 +0000 2017","null","False","[荒野訊息]三生教育的理念與實踐(2)~大自然中的全人教育 https://t.co/j1Thh6T0l4","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/51wrJdFp4y","http://to.twngo.xyz/2sd6WxA","to.twngo.xyz/2sd6WxA","21.0","44.0","0.0","44.0","0.0","null","null","875262896103665665","null","False","0.0","8.7526289610366566E17","null","False","Thu Jun 15 08:05:10 +0000 2017","null","False","[荒野訊息]響應世界地球日 讓生活不碳息 https://t.co/51wrJdFp4y","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/pcXdxMAnwL","http://to.twngo.xyz/2rum7VV","to.twngo.xyz/2rum7VV","21.0","44.0","0.0","44.0","0.0","null","null","875262894149165057","null","False","0.0","8.7526289414916506E17","null","False","Thu Jun 15 08:05:10 +0000 2017","null","False","[荒野訊息]尖石大橋-宇老鞍部的春響樂章 https://t.co/pcXdxMAnwL","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/btzHuqo3Oq","http://to.twngo.xyz/2rtM7AB","to.twngo.xyz/2rtM7AB","29.0","52.0","0.0","52.0","0.0","null","null","875259630255042561","null","False","0.0","8.7525963025504256E17","null","False","Thu Jun 15 07:52:12 +0000 2017","null","False","[酷兒權益訊息]【公告】辦公室搬遷，歡迎各位朋友來坐坐！ https://t.co/btzHuqo3Oq","zh","","null","null","null"
