"coordinates","retweeted","source","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/UeRvhEKwJg","http://ift.tt/2nloB2U","ift.tt/2nloB2U","62.0","85.0","0.0","85.0","0.0","null","null","847315229713195009","null","False","0.0","8.4731522971319501E17","null","False","Thu Mar 30 05:11:07 +0000 2017","null","False","轉型正義週訊 No.398(斯里蘭卡前國防部長：調查戰爭罪行將阻礙和解/遭國際刑事法庭追緝的蘇丹總統 受到約旦國王的歡迎) https://t.co/UeRvhEKwJg","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/vAextTD5x5","http://ift.tt/2od65xL","ift.tt/2od65xL","65.0","88.0","0.0","88.0","0.0","null","null","847299876824072199","null","False","0.0","8.4729987682407219E17","null","False","Thu Mar 30 04:10:07 +0000 2017","null","False","[高教工會訊息]抗議政府與大學聯手打假球，排除大專兼任教師適用勞基法！ 工會強烈訴求：「不分有無本職，一體適用勞基法」才是出路！ https://t.co/vAextTD5x5","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/7VGUX1HyJS","http://ift.tt/2nC2CqM","ift.tt/2nC2CqM","34.0","57.0","0.0","57.0","0.0","null","null","847291698740736001","null","False","0.0","8.47291698740736E17","null","False","Thu Mar 30 03:37:37 +0000 2017","null","False","[司改會訊息]小筆記：「總統府司法改革國是會議」第四分組第三次會議 https://t.co/7VGUX1HyJS","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/le47SZ0zeM","http://ift.tt/2oanjLz","ift.tt/2oanjLz","33.0","56.0","0.0","56.0","0.0","null","null","847287825707835392","null","False","0.0","8.4728782570783539E17","null","False","Thu Mar 30 03:22:14 +0000 2017","null","False","[環資訊息]參與式保障系統：消費者化身查驗員  決定友善農業價值 https://t.co/le47SZ0zeM","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/ONlJ8HSRyJ","http://ift.tt/2nNUP9O","ift.tt/2nNUP9O","45.0","68.0","0.0","68.0","0.0","null","null","847286951497449472","null","False","0.0","8.4728695149744947E17","null","False","Thu Mar 30 03:18:45 +0000 2017","null","False","[婦女新知訊息]【聯合聲明】年金改革的性別正義第一步，我們要求國家負擔育嬰假期間全部保費 https://t.co/ONlJ8HSRyJ","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/T4vBFHbb8Q","http://ift.tt/2nC31cQ","ift.tt/2nC31cQ","29.0","52.0","0.0","52.0","0.0","null","null","847285317035933697","null","False","0.0","8.472853170359337E17","null","False","Thu Mar 30 03:12:16 +0000 2017","null","False","[環資訊息]狂人新政？  川普為「地球工程」實驗開第一槍 https://t.co/T4vBFHbb8Q","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/NURYMi9sSJ","http://ift.tt/2nkQIiE","ift.tt/2nkQIiE","45.0","68.0","0.0","68.0","0.0","null","null","847284383748808708","null","False","0.0","8.472843837488087E17","null","False","Thu Mar 30 03:08:33 +0000 2017","null","False","[婦女新知訊息]【聯合聲明】年金改革的性別正義第一步，我們要求國家負擔育嬰假期間全部保費 https://t.co/NURYMi9sSJ","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/nDVS9Zc0t5","http://ift.tt/2ojbkbY","ift.tt/2ojbkbY","36.0","59.0","0.0","59.0","0.0","null","null","847283139802144768","null","False","0.0","8.4728313980214477E17","null","False","Thu Mar 30 03:03:36 +0000 2017","null","False","[環資訊息]楊娉育：  勿忘柴山湧泉經驗  水環境不是水泥與＄的凝結體 https://t.co/nDVS9Zc0t5","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/T8cOM2eniP","http://ift.tt/2oaiTo8","ift.tt/2oaiTo8","38.0","61.0","0.0","61.0","0.0","null","null","847283137931378688","null","False","0.0","8.4728313793137869E17","null","False","Thu Mar 30 03:03:36 +0000 2017","null","False","[環資訊息]提高產肉率換來禽流感、暖化和污染？ 中國工業化養雞的代價正浮現 https://t.co/T8cOM2eniP","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/k5mpCJNWIz","http://ift.tt/2nxr0Z4","ift.tt/2nxr0Z4","22.0","45.0","0.0","45.0","0.0","null","null","847280007726510080","null","False","0.0","8.4728000772651008E17","null","False","Thu Mar 30 02:51:10 +0000 2017","null","False","[蠻野心足訊息]亞泥不是太魯閣族土地的主人 https://t.co/k5mpCJNWIz","zh","null","null","null","","","","","","","","","","","","","",""
