"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Jrd3gJ6eYC","http://ift.tt/2mcsKbm","ift.tt/2mcsKbm","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","838577905269637122","null","False","0.0","8.3857790526963712E17","null","False","Mon Mar 06 02:32:07 +0000 2017","null","False","公民監督國會聯盟 just uploaded a video https://t.co/Jrd3gJ6eYC","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Lbo6FYI5Px","http://ift.tt/2lQwn43","ift.tt/2lQwn43","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","838576204655517697","null","False","0.0","8.385762046555177E17","null","False","Mon Mar 06 02:25:21 +0000 2017","null","False","[澄社訊息]請把防衛臺灣民主的兩岸法治建設放上執政者的政治議程 https://t.co/Lbo6FYI5Px","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/WSSMXO2Wjv","http://ift.tt/2mcnILU","ift.tt/2mcnILU","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","838575833669316608","null","False","0.0","8.3857583366931661E17","null","False","Mon Mar 06 02:23:53 +0000 2017","null","False","[環資訊息]聯合國淨海計畫「向海洋塑膠宣戰」 十國加入 https://t.co/WSSMXO2Wjv","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Px1FMdJRRO","http://ift.tt/2mUT4Vz","ift.tt/2mUT4Vz","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","838573759279820800","null","False","0.0","8.385737592798208E17","null","False","Mon Mar 06 02:15:38 +0000 2017","null","False","[民主書院訊息]李克強：堅決反對和遏制「台獨」分裂活動 https://t.co/Px1FMdJRRO","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wkLX34CQHG","http://ift.tt/2mJyfja","ift.tt/2mJyfja","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","838573757685985280","null","False","0.0","8.3857375768598528E17","null","False","Mon Mar 06 02:15:38 +0000 2017","null","False","[民主書院訊息]美報告指台灣外勞遭剝削 府：極重視勞工權益 https://t.co/wkLX34CQHG","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/GsXOtUxJVn","http://ift.tt/2lQmrHD","ift.tt/2lQmrHD","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","838571194957824004","null","False","0.0","8.38571194957824E17","null","False","Mon Mar 06 02:05:27 +0000 2017","null","False","[民主書院訊息]內蒙古牧民遭威脅上訪將拘留 牧民講述官員克扣草場移民補貼 https://t.co/GsXOtUxJVn","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/MpykGLa2zS","http://ift.tt/2mJwtyh","ift.tt/2mJwtyh","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","838571192810356736","null","False","0.0","8.3857119281035674E17","null","False","Mon Mar 06 02:05:26 +0000 2017","null","False","[民主書院訊息]中國兩會召開當局嚴陣以待 多名訪民被拘留 https://t.co/MpykGLa2zS","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/R28ubF5Q50","http://ift.tt/2lQvzMo","ift.tt/2lQvzMo","23.0","46.0","","","","","","","","","","","","","","","0.0","46.0","0.0","null","null","838571190759407617","null","False","0.0","8.3857119075940762E17","null","False","Mon Mar 06 02:05:26 +0000 2017","null","False","[民主書院訊息]西藏抗暴五十八周年台北大游行 https://t.co/R28ubF5Q50","ja","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/1Oyy3Bs1uk","http://ift.tt/2lupk4E","ift.tt/2lupk4E","11.0","34.0","","","","","","","","","","","","","","","0.0","34.0","0.0","null","null","838568083719585792","null","False","0.0","8.3856808371958579E17","null","False","Mon Mar 06 01:53:05 +0000 2017","null","False","[環資訊息]金門的路 https://t.co/1Oyy3Bs1uk","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/1GGkoNI2oL","http://ift.tt/2m8nBzp","ift.tt/2m8nBzp","23.0","46.0","","","","","","","","","","","","","","","0.0","46.0","0.0","null","null","838438742436233217","null","False","0.0","8.3843874243623322E17","null","False","Sun Mar 05 17:19:08 +0000 2017","null","False","[親子共學訊息]我從宜蘭到台中參加反空污遊行 https://t.co/1GGkoNI2oL","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/hYJ6RqHBSJ","http://ift.tt/2n1XWre","ift.tt/2n1XWre","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","838348887375167488","null","False","0.0","8.3834888737516749E17","null","False","Sun Mar 05 11:22:05 +0000 2017","null","False","媒觀 just uploaded a video https://t.co/hYJ6RqHBSJ","ja","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/x3cR80nIli","http://ift.tt/2lHURLK","ift.tt/2lHURLK","52.0","75.0","","","","","","","","","","","","","","","0.0","75.0","0.0","null","null","838026737682378753","null","False","0.0","8.3802673768237875E17","null","False","Sat Mar 04 14:01:58 +0000 2017","null","False","[護家盟訊息]兒童在同志家庭成長沒問題？研究發現 同性戀家庭子女較易出現跨性別行為  且性傾向較不確定 https://t.co/x3cR80nIli","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xXNCJlNXjn","http://ift.tt/2m5y9Pq","ift.tt/2m5y9Pq","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","837999340018872321","null","False","0.0","8.3799934001887232E17","null","False","Sat Mar 04 12:13:06 +0000 2017","null","False","[環資訊息]一場園遊會節省近1000個垃圾！ 不會麻煩的餐具租借 https://t.co/xXNCJlNXjn","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/eWaOvDTqmO","http://ift.tt/2mDfMVh","ift.tt/2mDfMVh","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","837999338026594304","null","False","0.0","8.379993380265943E17","null","False","Sat Mar 04 12:13:06 +0000 2017","null","False","[環資訊息]不只是校園一景 也是老同學、老朋友的「全國最美校樹」 https://t.co/eWaOvDTqmO","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9Ysr3VyW7i","http://ift.tt/2lpxagd","ift.tt/2lpxagd","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","837995564029603841","null","False","0.0","8.3799556402960384E17","null","False","Sat Mar 04 11:58:06 +0000 2017","null","False","[環資訊息]明天我們還有水嗎？《消失的藍色星球》 https://t.co/9Ysr3VyW7i","zh","null","null","null","","","","","","","","","","","","","",""
