"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ixkgigc77y","http://ift.tt/2k165gO","ift.tt/2k165gO","20.0","43.0","0.0","43.0","0.0","null","null","826997850080952320","null","False","0.0","8.2699785008095232E17","null","False","Thu Feb 02 03:37:06 +0000 2017","null","False","[高教工會訊息]2016年捐款徵信名單 https://t.co/ixkgigc77y","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VXNwnbXcCS","http://ift.tt/2jXIhIp","ift.tt/2jXIhIp","26.0","49.0","0.0","49.0","0.0","null","null","826996980010319874","null","False","0.0","8.2699698001031987E17","null","False","Thu Feb 02 03:33:39 +0000 2017","null","False","[經民連訊息]【新聞稿】恭賀新禧，監督條例不能再等 https://t.co/VXNwnbXcCS","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8b3K6HGyb9","http://ift.tt/2jyuxYc","ift.tt/2jyuxYc","59.0","82.0","0.0","82.0","0.0","null","null","826996351305125888","null","False","0.0","8.2699635130512589E17","null","False","Thu Feb 02 03:31:09 +0000 2017","null","False","[主婦聯盟訊息]為地球降溫的飲食指南 The Diet Guide of Cooling off the Earth https://t.co/8b3K6HGyb9","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/AQINdfqFMO","http://ift.tt/2k0XQS2","ift.tt/2k0XQS2","21.0","44.0","0.0","44.0","0.0","null","null","826988634918223872","null","False","0.0","8.2698863491822387E17","null","False","Thu Feb 02 03:00:29 +0000 2017","null","False","[環資訊息]氣候變遷調適 一道中國式難題 https://t.co/AQINdfqFMO","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Qxbdp3Mr7p","http://ift.tt/2kstzfK","ift.tt/2kstzfK","29.0","52.0","0.0","52.0","0.0","null","null","826984850271903745","null","False","0.0","8.2698485027190374E17","null","False","Thu Feb 02 02:45:27 +0000 2017","null","False","[環資訊息]3000隻野雁暴斃 考驗川普政府礦場除污能力 https://t.co/Qxbdp3Mr7p","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/fOcQVej7eL","http://ift.tt/2kibcI1","ift.tt/2kibcI1","37.0","60.0","0.0","60.0","0.0","null","null","826909429253754885","null","False","0.0","8.2690942925375488E17","null","False","Wed Feb 01 21:45:45 +0000 2017","null","False","[環資訊息]Google「100% 綠電」不夠綠？ 純綠電跟你想的不一樣 https://t.co/fOcQVej7eL","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/nfDIAHkwM8","http://ift.tt/2jxjNcQ","ift.tt/2jxjNcQ","30.0","53.0","0.0","53.0","0.0","null","null","826904293190012933","null","False","0.0","8.2690429319001293E17","null","False","Wed Feb 01 21:25:21 +0000 2017","null","False","[環資訊息]蘭嶼核廢料遷移終現進度 原能會：計畫2月中審完 https://t.co/nfDIAHkwM8","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/0kHhQvWNk3","http://ift.tt/2kitCZn","ift.tt/2kitCZn","31.0","54.0","0.0","54.0","0.0","null","null","826904291076108288","null","False","0.0","8.2690429107610829E17","null","False","Wed Feb 01 21:25:20 +0000 2017","null","False","[環資訊息]全國重要河川嚴重污染長度 最後73.7公里待改善 https://t.co/0kHhQvWNk3","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wHPpbXH3Kb","http://ift.tt/2kWvx4G","ift.tt/2kWvx4G","73.0","96.0","0.0","96.0","0.0","null","null","826877564123803648","null","False","0.0","8.2687756412380365E17","null","False","Wed Feb 01 19:39:08 +0000 2017","null","False","伴侶盟TAPCPR: ""婚姻平權：台灣是否可能成為亞洲第一？BBC World News 2016/12/12"" and more videos https://t.co/wHPpbXH3Kb","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/2COoepLsT8","http://ift.tt/2kKWngW","ift.tt/2kKWngW","43.0","66.0","0.0","66.0","0.0","null","null","826418379070328836","null","False","0.0","8.2641837907032883E17","null","False","Tue Jan 31 13:14:30 +0000 2017","null","False","[公民法治教育]【法治教育 給我報報】2017年01月號 新年快樂！談談講座登場囉！ https://t.co/2COoepLsT8","zh","null","null","null"
