"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","contributors____-","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","Nonprofit Hub","NPhub","3.0","9.0","250782731","2.50782731E8","https://t.co/AdUBTMXA1C","http://nonprofithub.org/starting-a-nonprofit/nonprofit-mission-statements-good-and-bad-examples/","nonprofithub.org/starting-a-non…","64.0","87.0","","","","","","","","","","","","","","","0.0","87.0","0.0","null","null","990744180560314368","null","False","0.0","9.9074418056031437E17","null","False","Mon Apr 30 00:06:34 +0000 2018","null","False","RT @NPhub: Nonprofit Mission Statements – Good and Bad Examples https://t.co/AdUBTMXA1C","en","","809491.0","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/UXxLeut5uU","http://bit.ly/2HYOXoR","bit.ly/2HYOXoR","40.0","63.0","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","990682681934581760","null","False","0.0","9.9068268193458176E17","null","False","Sun Apr 29 20:02:12 +0000 2018","null","False","[酷兒權益訊息]【公告】亞洲精神障礙者聯盟理事會台灣常任代表及常任候補代表更換 https://t.co/UXxLeut5uU","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8LUebkMY89","http://bit.ly/2HAWmeK","bit.ly/2HAWmeK","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","990606486844968960","null","False","0.0","9.9060648684496896E17","null","False","Sun Apr 29 14:59:25 +0000 2018","null","False","[公民行動資料庫]世新高層搭郵輪開會  學生接機反漲學費 https://t.co/8LUebkMY89","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/7miCjzcEr2","http://bit.ly/2radv3T","bit.ly/2radv3T","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","990606482705207296","null","False","0.0","9.906064827052073E17","null","False","Sun Apr 29 14:59:24 +0000 2018","null","False","[公民行動資料庫]印、台仲介違法超收費用　印尼移工要求公布黑名單　 https://t.co/7miCjzcEr2","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/yZQd5fNzxz","http://bit.ly/2r9W3gw","bit.ly/2r9W3gw","42.0","65.0","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","990603972691021824","null","False","0.0","9.9060397269102182E17","null","False","Sun Apr 29 14:49:26 +0000 2018","null","False","[公民行動資料庫]【新聞稿】2018五一勞工大遊行 血汗醫護工會大隊  行前記者會 https://t.co/yZQd5fNzxz","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/PyFucQoVOh","http://bit.ly/2vXVfjF","bit.ly/2vXVfjF","52.0","75.0","","","","","","","","","","","","","","","0.0","75.0","0.0","null","null","990603967175512066","null","False","0.0","9.9060396717551206E17","null","False","Sun Apr 29 14:49:24 +0000 2018","null","False","[公民行動資料庫]【新聞稿】校園工作真血汗、沒有勞保還要買 ──抗議教育部開後門讓各校規避兼任助理納保 https://t.co/PyFucQoVOh","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Bmwe59qX0F","http://ift.tt/2gaNzks","ift.tt/2gaNzks","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","805724773661765632","null","False","0.0","8.0572477366176563E17","null","False","Mon Dec 05 10:45:30 +0000 2016","null","False","[環資訊息]【你來報報】有熊出沒 讓人歡喜卻也讓人憂 https://t.co/Bmwe59qX0F","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/hn7HnoXILz","http://ift.tt/2h5ek7w","ift.tt/2h5ek7w","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","805719777469747200","null","False","0.0","8.057197774697472E17","null","False","Mon Dec 05 10:25:39 +0000 2016","null","False","[環資訊息]天柏嵐志工很給力 1.5小時完成6千公斤改良土製作！ https://t.co/hn7HnoXILz","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/yfxR2AFo6W","http://ift.tt/2gT3Dp4","ift.tt/2gT3Dp4","50.0","73.0","","","","","","","","","","","","","","","0.0","73.0","0.0","null","null","805704076663070720","null","False","0.0","8.0570407666307072E17","null","False","Mon Dec 05 09:23:15 +0000 2016","null","False","台灣世界展望會 World Vision Taiwan just uploaded a video https://t.co/yfxR2AFo6W","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ioevkFiXqn","http://ift.tt/2gXGDs7","ift.tt/2gXGDs7","7.0","30.0","","","","","","","","","","","","","","","0.0","30.0","0.0","null","null","805700854129029120","null","False","0.0","8.0570085412902912E17","null","False","Mon Dec 05 09:10:27 +0000 2016","null","False","[環盟訊息] https://t.co/ioevkFiXqn","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/QI3v0QDKd8","http://ift.tt/2h50gL2","ift.tt/2h50gL2","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","805693269711667200","null","False","0.0","8.056932697116672E17","null","False","Mon Dec 05 08:40:19 +0000 2016","null","False","[環資訊息]六輕調整儲槽稱減少VOCs  環團：總污染超量應暫停審查 https://t.co/QI3v0QDKd8","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/aZ8YdfESMQ","http://ift.tt/2gavDGD","ift.tt/2gavDGD","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","805693262690480128","null","False","0.0","8.0569326269048013E17","null","False","Mon Dec 05 08:40:17 +0000 2016","null","False","[護家盟訊息]1203我哭了！因我收到台灣民主的病危通知單 https://t.co/aZ8YdfESMQ","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8BgwNNZCvJ","http://ift.tt/2gSL2to","ift.tt/2gSL2to","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","805673145675948033","null","False","0.0","8.0567314567594803E17","null","False","Mon Dec 05 07:20:21 +0000 2016","null","False","[環資訊息]蜜月灣環差本週四再戰  業者資料補不及硬上 https://t.co/8BgwNNZCvJ","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ICLX3wts6O","http://ift.tt/2gagrcB","ift.tt/2gagrcB","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","805668984704081920","null","False","0.0","8.0566898470408192E17","null","False","Mon Dec 05 07:03:49 +0000 2016","null","False","伴侶盟TAPCPR just uploaded a video https://t.co/ICLX3wts6O","ja","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/tTV642QGlf","http://ift.tt/2h4wJRN","ift.tt/2h4wJRN","21.0","44.0","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","805658004125257728","null","False","0.0","8.0565800412525773E17","null","False","Mon Dec 05 06:20:11 +0000 2016","null","False","[環資訊息]【綠色小方舟】綠林中的聲物學 https://t.co/tTV642QGlf","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/CKRncm3Kfu","http://ift.tt/2h4sohr","ift.tt/2h4sohr","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","805650549274279936","null","False","0.0","8.0565054927427994E17","null","False","Mon Dec 05 05:50:33 +0000 2016","null","False","[環資訊息]【綠色小方舟】夜空捕蚊燈 都會好「蝠」氣 https://t.co/CKRncm3Kfu","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/EIvDKmz2ij","http://ift.tt/2g11XIs","ift.tt/2g11XIs","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","805612245703073793","null","False","0.0","8.0561224570307379E17","null","False","Mon Dec 05 03:18:21 +0000 2016","null","False","伊甸基金會 just uploaded a video https://t.co/EIvDKmz2ij","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dImgtom3jg","http://ift.tt/2gqCd9H","ift.tt/2gqCd9H","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","805608933675171840","null","False","0.0","8.0560893367517184E17","null","False","Mon Dec 05 03:05:11 +0000 2016","null","False","[環資訊息]「草地明珠」環頸雉退無可退 保育團體結護生合力「網」救 https://t.co/dImgtom3jg","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Yaaj4UDrFh","http://ift.tt/2gRZfXz","ift.tt/2gRZfXz","26.0","49.0","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","805603972287434754","null","False","0.0","8.0560397228743475E17","null","False","Mon Dec 05 02:45:29 +0000 2016","null","False","[環資訊息]馬達加斯加藍寶石熱 數萬人湧保護區淘寶 https://t.co/Yaaj4UDrFh","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dDzrzjgNEy","http://ift.tt/2gEDNaF","ift.tt/2gEDNaF","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","805602651475943424","null","False","0.0","8.0560265147594342E17","null","False","Mon Dec 05 02:40:14 +0000 2016","null","False","[環資訊息]地牛翻身・熔岩四起--311後的日本社會運動風潮 https://t.co/dDzrzjgNEy","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/zWxGNnk3wX","http://ift.tt/2gqzXzd","ift.tt/2gqzXzd","10.0","33.0","","","","","","","","","","","","","","","0.0","33.0","0.0","null","null","805602649160765441","null","False","0.0","8.0560264916076544E17","null","False","Mon Dec 05 02:40:13 +0000 2016","null","False","[環資訊息]守嵩山 https://t.co/zWxGNnk3wX","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Yte9fbrIlx","http://ift.tt/2gED7lU","ift.tt/2gED7lU","10.0","33.0","","","","","","","","","","","","","","","0.0","33.0","0.0","null","null","805602646472192000","null","False","0.0","8.05602646472192E17","null","False","Mon Dec 05 02:40:12 +0000 2016","null","False","[環資訊息]御風行 https://t.co/Yte9fbrIlx","zh","null","","null","null","","","","","","","","","","","","","",""
