"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/04XOSJtL3Y","http://ift.tt/2dh7BZ6","ift.tt/2dh7BZ6","30.0","53.0","0.0","53.0","0.0","null","null","785765701042708480","null","False","0.0","7.8576570104270848E17","null","False","Tue Oct 11 08:55:16 +0000 2016","null","False","[彰化環盟]環保署邀台化資方密室協商 環團衝撞要求共同拜會 https://t.co/04XOSJtL3Y","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/CdbxaVTrVW","http://ift.tt/2e2K5fL","ift.tt/2e2K5fL","22.0","45.0","0.0","45.0","0.0","null","null","785765697645404160","null","False","0.0","7.8576569764540416E17","null","False","Tue Oct 11 08:55:15 +0000 2016","null","False","[彰化環盟]台化抗爭 環團：財團抗議就轉彎 https://t.co/CdbxaVTrVW","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/vO1mSXwWGy","http://ift.tt/2dMbGEc","ift.tt/2dMbGEc","50.0","73.0","0.0","73.0","0.0","null","null","785739024027815941","null","False","0.0","7.8573902402781594E17","null","False","Tue Oct 11 07:09:16 +0000 2016","null","False","台灣世界展望會 World Vision Taiwan just uploaded a video https://t.co/vO1mSXwWGy","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ljYEdg8qpb","http://ift.tt/2dHIEZR","ift.tt/2dHIEZR","62.0","85.0","0.0","85.0","0.0","null","null","785723364711264256","null","False","0.0","7.8572336471126426E17","null","False","Tue Oct 11 06:07:02 +0000 2016","null","False","Live on YouTube: 中華民國身心障礙聯盟 - 台灣首次身心障礙權利公約民間報告座談會-10/11桃園場之1! https://t.co/ljYEdg8qpb","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/tOtSojrRV3","http://ift.tt/2e1ZlyP","ift.tt/2e1ZlyP","18.0","41.0","0.0","41.0","0.0","null","null","785713176755265536","null","False","0.0","7.8571317675526554E17","null","False","Tue Oct 11 05:26:33 +0000 2016","null","False","[親子共學訊息]不是強忍，而是懂了 https://t.co/tOtSojrRV3","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/hnXfLWP5nT","http://ift.tt/2dTjCoH","ift.tt/2dTjCoH","29.0","52.0","0.0","52.0","0.0","null","null","785697325335318528","null","False","0.0","7.8569732533531853E17","null","False","Tue Oct 11 04:23:34 +0000 2016","null","False","[蠻野心足訊息]台灣蠻野心足生態協會徵求專職行政秘書一名 https://t.co/hnXfLWP5nT","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/JtAYlTltCj","http://ift.tt/2d8Oqxj","ift.tt/2d8Oqxj","37.0","60.0","0.0","60.0","0.0","null","null","785688221749575680","null","False","0.0","7.8568822174957568E17","null","False","Tue Oct 11 03:47:24 +0000 2016","null","False","[環資訊息]為魚蝦蓋農場  「五溝水水草日」把原生水草種回來       https://t.co/JtAYlTltCj","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/zUyL74Wch5","http://ift.tt/2dQylym","ift.tt/2dQylym","46.0","69.0","0.0","69.0","0.0","null","null","785686122018050048","null","False","0.0","7.8568612201805005E17","null","False","Tue Oct 11 03:39:03 +0000 2016","null","False","[司改會訊息]【Legal Life】Ch19 公有公共設施不良，導致受害，該如何討公道？ https://t.co/zUyL74Wch5","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/UEiu8bIpTW","http://ift.tt/2e59mXZ","ift.tt/2e59mXZ","25.0","48.0","0.0","48.0","0.0","null","null","785685701048369152","null","False","0.0","7.8568570104836915E17","null","False","Tue Oct 11 03:37:23 +0000 2016","null","False","[環資訊息]暖化殺死胃部益菌 影響椿象「轉大人」 https://t.co/UEiu8bIpTW","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/0tmFKCKUck","http://ift.tt/2dQy4eW","ift.tt/2dQy4eW","46.0","69.0","0.0","69.0","0.0","null","null","785683180867166208","null","False","0.0","7.8568318086716621E17","null","False","Tue Oct 11 03:27:22 +0000 2016","null","False","[高教工會訊息]永達挪移校產計畫 再次偷跑！教育部黑箱審查 護航？私校法、創轉條例 縱容？ https://t.co/0tmFKCKUck","zh","","null","null","null"
