"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/K5cpOUNeam","http://bit.ly/2uyvshA","bit.ly/2uyvshA","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","979178121609048064","null","False","0.0","9.7917812160904806E17","null","False","Thu Mar 29 02:07:11 +0000 2018","null","False","[華人民主書院]“709”律師王宇給海外留學兒子彙款受限 https://t.co/K5cpOUNeam","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/e9qZxbYUIc","http://bit.ly/2GgEJzZ","bit.ly/2GgEJzZ","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","979178118547165186","null","False","0.0","9.7917811854716518E17","null","False","Thu Mar 29 02:07:10 +0000 2018","null","False","[華人民主書院]金正恩秘訪北京眾紛紜 網上急刪“金三胖” https://t.co/e9qZxbYUIc","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/OWcUZOO45J","http://bit.ly/2utjplr","bit.ly/2utjplr","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","979178116286439424","null","False","0.0","9.7917811628643942E17","null","False","Thu Mar 29 02:07:09 +0000 2018","null","False","[華人民主書院]李凈瑜探李明哲返台 海基會感謝台商協助 https://t.co/OWcUZOO45J","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/YvDUvlpXMi","http://bit.ly/2GhwfsF","bit.ly/2GhwfsF","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","979178112666820608","null","False","0.0","9.7917811266682061E17","null","False","Thu Mar 29 02:07:08 +0000 2018","null","False","[華人民主書院]港團體向政務司長請願反對《國歌法》立法 https://t.co/YvDUvlpXMi","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xlAhoWQ2yF","http://bit.ly/2Gj0vz9","bit.ly/2Gj0vz9","22.0","45.0","","","","","","","","","","","","","","","0.0","45.0","0.0","null","null","979173876272902144","null","False","0.0","9.7917387627290214E17","null","False","Thu Mar 29 01:50:18 +0000 2018","null","False","[主婦聯盟訊息]要求行政院 立即撤回深澳案 https://t.co/xlAhoWQ2yF","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/4di1eUa7cP","http://bit.ly/2E2QPXL","bit.ly/2E2QPXL","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","979148680547766272","null","False","0.0","9.7914868054776627E17","null","False","Thu Mar 29 00:10:11 +0000 2018","null","False","[白絲帶協會]【動物實驗證實 藍光傷害視網膜 8歲童2年恐致病變】 https://t.co/4di1eUa7cP","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/IM9d9bHOkY","http://bit.ly/2E2Ejre","bit.ly/2E2Ejre","68.0","91.0","","","","","","","","","","","","","","","0.0","91.0","0.0","null","null","979136413093515267","null","False","0.0","9.7913641309351526E17","null","False","Wed Mar 28 23:21:27 +0000 2018","null","False","[中華記協訊息]國家通訊傳播委員會(NCC)針對其中涉及違反電視節目分級處理辦法及公共秩序與善良風俗之節目作出核處及發函改進之處分決議 https://t.co/IM9d9bHOkY","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Qbtj4iGZjL","http://bit.ly/2GRGu3F","bit.ly/2GRGu3F","50.0","73.0","","","","","","","","","","","","","","","0.0","73.0","0.0","null","null","979136410430078976","null","False","0.0","9.7913641043007898E17","null","False","Wed Mar 28 23:21:26 +0000 2018","null","False","[中華記協訊息]詹婷怡說藉由提高物聯網網路環境整體可靠度促進智慧城市及物聯網各項創新應用服務之發展 https://t.co/Qbtj4iGZjL","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","","","","","https://t.co/LlXpDpoEJ0","https://to.twngo.xyz/2puhYh4","to.twngo.xyz/2puhYh4","54.0","77.0","","","","","","","","","","","","","","","0.0","101.0","0.0","null","null","979062062377664512","null","False","1.0","9.7906206237766451E17","null","False","Wed Mar 28 18:26:00 +0000 2018","null","False","TWNGO 推進器介紹過最新的非營利數位展望哦（2018 Digital Outlook Repor）～～\nhttps://t.co/LlXpDpoEJ0 https://t.co/LwAtsizyu3","zh","","null","null","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","","https://t.co/LwAtsizyu3","https://twitter.com/JuliaCSocial/status/978998984038592517","twitter.com/JuliaCSocial/s…","78.0","101.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/aKkOxlwsXz","http://bit.ly/2I7JIPW","bit.ly/2I7JIPW","49.0","72.0","","","","","","","","","","","","","","","0.0","72.0","0.0","null","null","979019025375289345","null","False","0.0","9.7901902537528934E17","null","False","Wed Mar 28 15:34:59 +0000 2018","null","False","[公民行動資料庫]【新聞稿】浮濫徵收 聽證沒結論 都委勿放水  桃園航空城、新竹公道三聯合記者會 https://t.co/aKkOxlwsXz","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/92kdLGbGUE","http://bit.ly/2GcKr5Y","bit.ly/2GcKr5Y","54.0","77.0","","","","","","","","","","","","","","","0.0","77.0","0.0","null","null","979019023156436992","null","False","0.0","9.7901902315643699E17","null","False","Wed Mar 28 15:34:59 +0000 2018","null","False","[公民行動資料庫]【新聞稿】世新、輔大、文化等私校拒絕依法調薪？  高教工會第一波私立大專調薪3%調查出爐 https://t.co/92kdLGbGUE","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ViKtoRrZcM","http://bit.ly/2I8e0Cs","bit.ly/2I8e0Cs","42.0","65.0","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","979019020757360640","null","False","0.0","9.7901902075736064E17","null","False","Wed Mar 28 15:34:58 +0000 2018","null","False","[公民行動資料庫]【聲明】無國界記者組織要求中國釋放未審拘留超過六個月的記者甄江華 https://t.co/ViKtoRrZcM","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","LGBTIQTaiwan","44.0","57.0","https://t.co/oandf5mLSm","http://bit.ly/2uuv43m","bit.ly/2uuv43m","20.0","43.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","979006143312945152","null","False","0.0","9.7900614331294515E17","null","False","Wed Mar 28 14:43:48 +0000 2018","null","False","[同志熱線訊息]親密關係小組培訓工作坊 https://t.co/oandf5mLSm #LGBTIQTaiwan","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/F6mpOHeBTx","http://bit.ly/2Ggyexr","bit.ly/2Ggyexr","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","979001574654652417","null","False","0.0","9.7900157465465242E17","null","False","Wed Mar 28 14:25:39 +0000 2018","null","False","[公民行動資料庫]【新聞稿】3/28李凈瑜第一次探監返台記者會 https://t.co/F6mpOHeBTx","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/mF8kcSsAmO","http://bit.ly/2Ghh0Mc","bit.ly/2Ghh0Mc","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","978990113215713280","null","False","0.0","9.7899011321571328E17","null","False","Wed Mar 28 13:40:06 +0000 2018","null","False","[公民行動資料庫]5萬人連署反深澳電廠 居民及環團赴政院遞陳情書 https://t.co/mF8kcSsAmO","zh","","null","null","null","","","","","","","","","","","","","",""
