month,time,tweet,impression,tags,NGO
2016.9,09/39/16,[婦女新知訊息]【聯合聲明】抗議年代電視台《新聞面對面》節目　違反新聞自律原則讓夏林清上節目喊冤引導輿論公審及判案　公民參與媒體改造聯盟聲明稿 http://ift.tt/2cDcfgo ,19,"性別,  女權, 媒改",婦女新知
10,105/10/30, [環資訊息]「大巨蛋為什麼不解約！」 護樹團體萬聖節遊行問柯P ift.tt/2f5KTRv,18,環保,環資
11,105/11/30,[綠色和平台灣]漂在西非，越走越遠的中國遠洋漁船 ift.tt/2gwoheD,8,"環保, 海洋",綠色和平
12,105/12/30, [看守台灣協會]遏止廢棄物流竄、守護環境已經不能再等 ift.tt/2hBEhjD,26,環保,看守台灣
2017.1,106/01/24,本週二例文從國外團體The engine room的專案研究，來反思NGO在挑選數位工具上的狀況“Technology tools for NGOs (part I)” https://medium.twngo.xyz/technology-tools-for-ngos-part-i-b42243247c0f#.zgpufiz3k …,376,數位工具,NGO推進器
2,106/02/28,"
 每週二依然準時送上一篇專文，今日二二八要介紹的是美國上世紀80年代出版的一本社會運動經典作品“舊書介紹－社會運動的階段與角色” medium.twngo.xyz/%E8%88%8A%E6%9…
",69,社會運動,NGO推進器
3,106/03/07,"
Twngo.xyz 的另一個新工作計畫即將登場囉～～ “NGO 數位知能培力課程” medium.twngo.xyz/ngo-%E6%95%B8%…
",822,數位能力,NGO推進器
4,106/04/29,[勵馨訊息]目睹兒服務：台中勵馨向日葵小屋成立週年－第891期 ift.tt/2qgrfsw,1187,兒童,
5,106/05/26, [廢死聯盟訊息]關於廢話電子報100期的八個統計數字 ift.tt/2qqJvhI #EndDeathPenalty,716,廢除死刑,
6,106/06/29," [環資訊息]含戴奧辛集塵灰「填海造島」 新竹新豐淪最毒海岸線 ift.tt/2u0vXwq
782
",782,"環保,海洋",
7,106/07/31,[民主書院訊息]吉林市23村突遭水庫泄洪家被淹 上千災民政府討說法無果堵路抗議 ift.tt/2uaF2l4 #China #中國人權,449,中國人權,
8,106/08/28, 且看二年前  @NonprofitOrgs 進過的2016全球NGO線上使用調查 ，別忘了參與今年正在進行的全球 NGO Tech Survey to.twngo.xyz/2pWoMac,1332,數位能力,NGO推進器
9,106/09/05,"本週介紹二個國外社運工具箱網站 @BTroublemakers @BeautRising 。華文世界中這類社會行動、公民不服從、非暴力抗爭等運動系統化、親民化、綜合性的整理和分析材料都非常殘缺，呈現上也偏呆板、制式。
to.twngo.xyz/2x6vxJI",467,"社會運動, 數位工具",NGO推進器
10,106/10/03, [民主書院訊息]十九大維穩：刪2000萬信息 收繳“非法宗教出版物” twngo.cf/2yTV9ai #China #中國人權,1766,中國人權,
11,107/11/13,"
明天我們將公佈今年七月初進行的「台灣 NGOs 工作者網際網路使用調查結果 」（～￣▽￣～） with @okfntw @taipeiio infosec.twngo.xyz/survey.html pic.twitter.com/tOYWHHtGIx
",1089,數位能力,NGO推進器
12,106/12/12," [TWNGO 推進器] 本週的專文不談數位網路技術,而是分享一份報告，其探討當權者如何利用進步字眼，卻是用壓擠公民社會發展空間的全球逆襲。",1121,"社會運動, 公民社會",NGO推進器
2018.1,107/01/14,[公民行動資料庫]《燦爛時光會客室》第183集：集遊法管不住刁民 警方另闢蹊徑 twngo.cf/2mwF1Gq,1553,集會遊行,
2,107/02/14,"[環資訊息]【永續海鱻食堂】永續海鮮這樣挑！9大心法教你吃對年菜 twngo.cf/2GayGZm
",669,"環保, 海洋",
3,107/03/12, [華人民主書院]西藏抗暴59周年台北游行 磕長頭、為自焚藏人默哀 twngo.cf/2p7VXEl,1826,"西藏, 中國人權",
4,107/04/24, [NGO 推進器] 本週我們來看看 @NetHope_org / The Center for the Digital Non-Profit 的最新報告吧 to.twngo.xyz/2HULOE9,807,社會運動,NGO推進器
5,107/05/31, [公民行動資料庫]【投書】中國迫害新疆穆斯林——一名法學院學生的觀察 bit.ly/2svx5YK,1946,"新疆, 中國人權",
6,107/06/12," [NGO 推進器] 本週介紹@ForaChange_org 四月份上線的新網站：社會行動的數位策略入門
to.twngo.xyz/2y0M3MH",691,"社會運動, 數位工具",NGO推進器
 ,,,,,
 ,,,,,
